Start Date ,Start Time,End Date,End Time,Event Title ,Event Description,All Day Event,No End Time,Contact ,Contact Email,Contact Phone,Location,Category,Registration,Maximum Seats,Last Date To Register
10/5/13,7:00 AM,10/5/13,8:00 AM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,8:00 AM,10/5/13,9:00 AM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,9:00 AM,10/5/13,10:00 AM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,10:00 AM,10/5/13,11:00 AM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,11:00 AM,10/5/13,12:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,12:00 PM,10/5/13,1:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,1:00 PM,10/5/13,2:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,2:00 PM,10/5/13,3:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,3:00 PM,10/5/13,4:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,4:00 PM,10/5/13,5:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,5:00 PM,10/5/13,6:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
10/5/13,6:00 PM,10/5/13,7:00 PM,Parent Teacher Conference,Register for a one hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/13
